"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Spotify APIs OAuth02","User Profile APIs","Follow a playlist","0","0","2","0","0"
"Spotify APIs OAuth02","Renew an access token","Renew a token with invalid data","0","0","4","0","0"
"Spotify APIs OAuth02","Playlist API","Create a playlist","0","0","4","0","0"
"Spotify APIs OAuth02","Playlist API","Add items to a playlist","0","0","1","0","0"
"Spotify APIs OAuth02","Playlist API","Get a playlist with valid id","0","0","1","0","0"
"Spotify APIs OAuth02","User Profile APIs","Unfollow a playlist","0","0","2","0","0"
"Spotify APIs OAuth02","Playlist API","Get a user playlists with valid Id","0","0","1","0","0"
"Spotify APIs OAuth02","User Profile APIs","Follow artists","0","0","2","0","0"
"Spotify APIs OAuth02","User Profile APIs","Get a user profile data","0","0","1","0","0"
"Spotify APIs OAuth02","User Profile APIs","Unfollow artists","0","0","2","0","0"
"Spotify APIs OAuth02","Playlist API","Remove items from a playlist","0","0","1","0","0"
"Spotify APIs OAuth02","Playlist API","Update a playlist with valid Id","0","0","1","0","0"
