"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 01:53:06 EET 2024","Mon Jan 22 01:53:07 EET 2024","463","SpotifyAPISuite","SpotifyAPIsTests","tests.T03_UserTests","tests.T03_UserTests","TestToFollowPlaylistWithInvalidId","should not be able to follow non existing playlist","Verify that error message displaying when following non existing playlist"
"passed","Mon Jan 22 01:52:43 EET 2024","Mon Jan 22 01:52:44 EET 2024","666","SpotifyAPISuite","SpotifyAPIsTests","tests.T01_RenewTokenTests","tests.T01_RenewTokenTests","TestToRenewTokenUsingInvalidClientSecret","should Not be able to renew a token using invalid client secret","Verify an error message display when renew token with invalid client secret"
"passed","Mon Jan 22 01:52:46 EET 2024","Mon Jan 22 01:52:58 EET 2024","12174","SpotifyAPISuite","SpotifyAPIsTests","tests.T02_PlaylistTests","tests.T02_PlaylistTests","TestToCreateAPlaylist","should be able to create a playlist with valid data","Verify creating a playlist with valid data"
"passed","Mon Jan 22 01:53:05 EET 2024","Mon Jan 22 01:53:06 EET 2024","521","SpotifyAPISuite","SpotifyAPIsTests","tests.T03_UserTests","tests.T03_UserTests","TestToFollowPlaylistWithValidId","should be able to follow an existing playlist","Verify that user is able to follow an existing playlist"
"passed","Mon Jan 22 01:52:44 EET 2024","Mon Jan 22 01:52:45 EET 2024","774","SpotifyAPISuite","SpotifyAPIsTests","tests.T01_RenewTokenTests","tests.T01_RenewTokenTests","TestToRenewTokenUsingInvalidRefreshToken","should Not be able to renew a token using invalid refresh token","Verify an error message display when renew token with refresh token"
"passed","Mon Jan 22 01:53:00 EET 2024","Mon Jan 22 01:53:02 EET 2024","1285","SpotifyAPISuite","SpotifyAPIsTests","tests.T02_PlaylistTests","tests.T02_PlaylistTests","TestToAddItemsToPlaylist","should be able to add items to a playlist","Verify that user is able to add tracks to a playlist"
"passed","Mon Jan 22 01:52:58 EET 2024","Mon Jan 22 01:52:59 EET 2024","844","SpotifyAPISuite","SpotifyAPIsTests","tests.T02_PlaylistTests","tests.T02_PlaylistTests","TestToGetAPlaylist","should be able to get a playlist with playlist ID","Verify that user is able to get a playlist using valid playlist ID"
"passed","Mon Jan 22 01:53:06 EET 2024","Mon Jan 22 01:53:06 EET 2024","604","SpotifyAPISuite","SpotifyAPIsTests","tests.T03_UserTests","tests.T03_UserTests","TestToUnfollowPlaylistWithValidId","should be able to unfollow an existing playlist","Verify that user is able to unfollow an existing playlist"
"passed","Mon Jan 22 01:53:00 EET 2024","Mon Jan 22 01:53:00 EET 2024","785","SpotifyAPISuite","SpotifyAPIsTests","tests.T02_PlaylistTests","tests.T02_PlaylistTests","TestToGetAUserPlaylists","should be able to get a user playlists","Verify that user is able to get his playlists"
"passed","Mon Jan 22 01:53:08 EET 2024","Mon Jan 22 01:53:09 EET 2024","498","SpotifyAPISuite","SpotifyAPIsTests","tests.T03_UserTests","tests.T03_UserTests","TestToFollowArtistWithInvalidId","should not be able to follow non existing artists","Verify that error message displaying when following non existing artists"
"passed","Mon Jan 22 01:51:59 EET 2024","Mon Jan 22 01:52:43 EET 2024","43549","SpotifyAPISuite","SpotifyAPIsTests","tests.T01_RenewTokenTests","tests.T01_RenewTokenTests","TestToRenewTokenUsingInvalidClientId","should Not be able to renew a token with invalid client Id","Verify an error message display when renew token with invalid client id"
"passed","Mon Jan 22 01:53:07 EET 2024","Mon Jan 22 01:53:07 EET 2024","472","SpotifyAPISuite","SpotifyAPIsTests","tests.T03_UserTests","tests.T03_UserTests","TestToUnfollowPlaylistWithInvalidId","should not be able to unfollow non existing playlist","Verify that error message displaying when unfollowing non existing playlist"
"passed","Mon Jan 22 01:53:04 EET 2024","Mon Jan 22 01:53:05 EET 2024","804","SpotifyAPISuite","SpotifyAPIsTests","tests.T03_UserTests","tests.T03_UserTests","TestToGetUserProfile","should be able to get a user profile data","Verify that user is able to retrieve his profile data"
